Kod,Nama,PPD
KBAB015,Sekolah Kebangsaan Bukit Pak Kiau,PPD KOTA SETAR
KBB0033,Sekolah Kebangsaan Batu Pekaka,PPD BALING
KBB0034,Sekolah Kebangsaan Tunku Putera,PPD BALING
KBB1015,Sekolah Kebangsaan Permatang Pasir,PPD KULIM/BANDAR BAHARU
KBB1016,Sekolah Kebangsaan Jalan Selama,PPD KULIM/BANDAR BAHARU
KBB2079,Sekolah Kebangsaan Sri Gunong,PPD KOTA SETAR
KBB2080,Sekolah Kebangsaan Bohor,PPD KOTA SETAR
KBB2081,Sekolah Kebangsaan Iskandar,PPD KOTA SETAR
KBB2082,Sekolah Kebangsaan Hj Mohd Shariff,PPD KOTA SETAR
KBB2083,Sekolah Kebangsaan Tunku Abdul Halim,PPD KOTA SETAR
KBB2084,Sekolah Kebangsaan Alor Setar,PPD KOTA SETAR
KBB2085,Sekolah Kebangsaan Sultanah Asma,PPD KOTA SETAR
KBB2086,Sekolah Kebangsaan Convent,PPD KOTA SETAR
KBB3038,Sekolah Kebangsaan Seri Aman,PPD YAN
KBB3039,Sekolah Kebangsaan Father Barre'S Convent,PPD KUALA MUDA
KBB3040,Sekolah Kebangsaan Ibrahim,PPD KUALA MUDA
KBB3041,Sekolah Kebangsaan St Theresa,PPD KUALA MUDA
KBB4033,Sekolah Kebangsaan Sultan Ahmad Tajuddin,PPD KUBANG PASU
KBB5021,Sekolah Kebangsaan St Anne'S Convent,PPD KULIM/BANDAR BAHARU
KBB5023,Sekolah Kebangsaan Tunku Abdul Malik,PPD KULIM/BANDAR BAHARU
KBB7016,Sekolah Kebangsaan Tunku Abdul Rahman Putra,PPD PADANG TERAP
KBC0040,Sekolah Jenis Kebangsaan (Cina) Chin Hwa,PPD BALING
KBC0041,Sekolah Jenis Kebangsaan (Cina) Kong Min,PPD BALING
KBC0042,Sekolah Jenis Kebangsaan (Cina) Kampung Lalang,PPD BALING
KBC0043,Sekolah Jenis Kebangsaan (Cina) Kuala Ketil,PPD BALING
KBC0044,Sekolah Jenis Kebangsaan (Cina) Peng Min,PPD BALING
KBC0045,Sekolah Jenis Kebangsaan (Cina) Seng Yok,PPD BALING
KBC0046,Sekolah Jenis Kebangsaan (Cina) Yeok Chee,PPD BALING
KBC1019,Sekolah Jenis Kebangsaan (Cina) Cheong Chen,PPD KULIM/BANDAR BAHARU
KBC1020,Sekolah Jenis Kebangsaan (Cina) Kwang Hwa Ski,PPD KULIM/BANDAR BAHARU
KBC1021,Sekolah Jenis Kebangsaan (Cina) Kwang Hwa,PPD KULIM/BANDAR BAHARU
KBC1022,Sekolah Jenis Kebangsaan (Cina) Poay Chai,PPD KULIM/BANDAR BAHARU
KBC1023,Sekolah Jenis Kebangsaan (Cina) Serdang,PPD KULIM/BANDAR BAHARU
KBC1024,Sekolah Jenis Kebangsaan (Cina) Yeok Kheong,PPD KULIM/BANDAR BAHARU
KBC2109,Sekolah Jenis Kebangsaan (Cina) Boon Hwa,PPD KOTA SETAR
KBC2112,Sekolah Jenis Kebangsaan (Cina) Cheng Yu,PPD KOTA SETAR
KBC2113,Sekolah Jenis Kebangsaan (Cina) Eik Choon,PPD KOTA SETAR
KBC2115,Sekolah Jenis Kebangsaan (Cina) Keat Hwa (K),PPD KOTA SETAR
KBC2116,Sekolah Jenis Kebangsaan (Cina) Keat Hwa (H),PPD KOTA SETAR
KBC2117,Sekolah Jenis Kebangsaan (Cina) Keat Hwa (S),PPD KOTA SETAR
KBC2118,Sekolah Jenis Kebangsaan (Cina) Kee Chee,PPD KOTA SETAR
KBC2119,Sekolah Jenis Kebangsaan (Cina) Long Seong,PPD KOTA SETAR
KBC2121,Sekolah Jenis Kebangsaan (Cina) Long Chuan,PPD KOTA SETAR
KBC2122,Sekolah Jenis Kebangsaan (Cina) Min Sin,PPD KOTA SETAR
KBC2123,Sekolah Jenis Kebangsaan (Cina) Nan Kwang,PPD KOTA SETAR
KBC2124,Sekolah Jenis Kebangsaan (Cina) Pumpong,PPD KOTA SETAR
KBC2125,Sekolah Jenis Kebangsaan (Cina) Peng Min,PPD KOTA SETAR
KBC2126,Sekolah Jenis Kebangsaan (Cina) Pei Hwa,PPD KOTA SETAR
KBC2127,Sekolah Jenis Kebangsaan (Cina) Pei Shih,PPD KOTA SETAR
KBC2128,Sekolah Jenis Kebangsaan (Cina) Soon Jian,PPD KOTA SETAR
KBC2129,Sekolah Jenis Kebangsaan (Cina) Soon Cheng,PPD KOTA SETAR
KBC2130,Sekolah Jenis Kebangsaan (Cina) Sin Min,PPD KOTA SETAR
KBC2132,Sekolah Jenis Kebangsaan (Cina) Tai Chong,PPD KOTA SETAR
KBC2133,Sekolah Jenis Kebangsaan (Cina) Yih Min,PPD KOTA SETAR
KBC2135,Sekolah Jenis Kebangsaan (Cina) Yih Choon,PPD KOTA SETAR
KBC3058,Sekolah Jenis Kebangsaan (Cina) Ching Chong,PPD KUALA MUDA
KBC3059,Sekolah Jenis Kebangsaan (Cina) Choong Cheng,PPD KUALA MUDA
KBC3060,Sekolah Jenis Kebangsaan (Cina) Choong Hwa,PPD YAN
KBC3061,Sekolah Jenis Kebangsaan (Cina) Chung Hwa,PPD KUALA MUDA
KBC3062,Sekolah Jenis Kebangsaan (Cina) Fuh Sun,PPD KUALA MUDA
KBC3063,Sekolah Jenis Kebangsaan (Cina) Hoon Bong,PPD KUALA MUDA
KBC3064,Sekolah Jenis Kebangsaan (Cina) Jeniang,PPD YAN
KBC3065,Sekolah Jenis Kebangsaan (Cina) Min Terk,PPD KUALA MUDA
KBC3066,Sekolah Jenis Kebangsaan (Cina) Mah Wah,PPD YAN
KBC3067,Sekolah Jenis Kebangsaan (Cina) Sin Kuo Min,PPD YAN
KBC3068,Sekolah Jenis Kebangsaan (Cina) Peng Min,PPD KUALA MUDA
KBC3069,Sekolah Jenis Kebangsaan (Cina) Sin Kwang,PPD KUALA MUDA
KBC3070,Sekolah Jenis Kebangsaan (Cina) Sin Min 'A',PPD KUALA MUDA
KBC3071,Sekolah Jenis Kebangsaan (Cina) Sin Min 'B',PPD KUALA MUDA
KBC3072,Sekolah Jenis Kebangsaan (Cina) Sin Hwa,PPD KUALA MUDA
KBC3073,Sekolah Jenis Kebangsaan (Cina) Tai Tong,PPD KUALA MUDA
KBC3104,Sekolah Jenis Kebangsaan (Cina) Pekan Lama,PPD KUALA MUDA
KBC3105,Sekolah Jenis Kebangsaan (Cina) Lin Khay,PPD KUALA MUDA
KBC3106,Sekolah Jenis Kebangsaan (Cina) Poi Chee,PPD KUALA MUDA
KBC4042,Sekolah Jenis Kebangsaan (Cina) Chung Hwa,PPD KUBANG PASU
KBC4043,Sekolah Jenis Kebangsaan (Cina) Choong Hwa,PPD KUBANG PASU
KBC4044,Sekolah Jenis Kebangsaan (Cina) Chee Nan,PPD KUBANG PASU
KBC4045,Sekolah Jenis Kebangsaan (Cina) Hwa Min,PPD KUBANG PASU
KBC4046,Sekolah Jenis Kebangsaan (Cina) Lam Min,PPD KUBANG PASU
KBC4047,Sekolah Jenis Kebangsaan (Cina) Pei Min,PPD KUBANG PASU
KBC4048,Sekolah Jenis Kebangsaan (Cina) Yit Min,PPD KUBANG PASU
KBC4049,Sekolah Jenis Kebangsaan (Cina) Yuh Min,PPD KUBANG PASU
KBC5032,Sekolah Jenis Kebangsaan (Cina) Aik Chee,PPD KULIM/BANDAR BAHARU
KBC5033,Sekolah Jenis Kebangsaan (Cina) Chio Min 'A',PPD KULIM/BANDAR BAHARU
KBC5034,Sekolah Jenis Kebangsaan (Cina) Chio Min 'B',PPD KULIM/BANDAR BAHARU
KBC5035,Sekolah Jenis Kebangsaan (Cina) Chong Cheng,PPD KULIM/BANDAR BAHARU
KBC5036,Sekolah Jenis Kebangsaan (Cina) Hua Min,PPD KULIM/BANDAR BAHARU
KBC5037,Sekolah Jenis Kebangsaan (Cina) Hwa Min,PPD KULIM/BANDAR BAHARU
KBC5038,Sekolah Jenis Kebangsaan (Cina) Khai Min,PPD KULIM/BANDAR BAHARU
KBC5039,Sekolah Jenis Kebangsaan (Cina) Kong Min,PPD KULIM/BANDAR BAHARU
KBC5040,Sekolah Jenis Kebangsaan (Cina) Sin Min,PPD KULIM/BANDAR BAHARU
KBC5041,Sekolah Jenis Kebangsaan (Cina) Sin Teong Mahang,PPD KULIM/BANDAR BAHARU
KBC5042,Sekolah Jenis Kebangsaan (Cina) Shang Cheng,PPD KULIM/BANDAR BAHARU
KBC5043,Sekolah Jenis Kebangsaan (Cina) Kelang Lama,PPD KULIM/BANDAR BAHARU
KBC6017,Sekolah Jenis Kebangsaan (Cina) Chung Hwa,PPD LANGKAWI
KBC6018,Sekolah Jenis Kebangsaan (Cina) Min Nam,PPD LANGKAWI
KBC7019,Sekolah Jenis Kebangsaan (Cina) Kou Hua,PPD PADANG TERAP
KBC8019,Sekolah Jenis Kebangsaan (Cina) Chung Hwa,PPD SIK
KBC9025,Sekolah Jenis Kebangsaan (Cina) Aik Min,PPD YAN
KBC9026,Sekolah Jenis Kebangsaan (Cina) Chung Hwa,PPD YAN
KBC9027,Sekolah Jenis Kebangsaan (Cina) Pei Eng,PPD YAN
KBC9028,Sekolah Jenis Kebangsaan (Cina) Pei Hwa,PPD YAN
KBC9029,Sekolah Jenis Kebangsaan (Cina) Yuk Min,PPD YAN
KBC9030,Sekolah Jenis Kebangsaan (Cina) Yang Kao,PPD YAN
KBC9031,Sekolah Jenis Kebangsaan (Cina) York Khoon,PPD YAN
KBCA110,Sekolah Jenis Kebangsaan (Cina) Boon Teik,PPD PENDANG
KBCA114,Sekolah Jenis Kebangsaan (Cina) Junun,PPD PENDANG
KBCA134,Sekolah Jenis Kebangsaan (Cina) Yeang Cheng,PPD PENDANG
KBCB001,Sekolah Jenis Kebangsaan (Cina) Chung Hwa,PPD KOTA SETAR
KBCB002,Sekolah Jenis Kebangsaan (Cina) Tong Yuh,PPD KOTA SETAR
KBD0048,Sekolah Jenis Kebangsaan (Tamil) Ldg Badenoch,PPD BALING
KBD0050,Sekolah Jenis Kebangsaan (Tamil) Binjol,PPD BALING
KBD0052,Sekolah Jenis Kebangsaan (Tamil) Ldg Bukit Sembilan,PPD BALING
KBD0053,Sekolah Jenis Kebangsaan (Tamil) Ldg Katumba,PPD BALING
KBD0054,Sekolah Jenis Kebangsaan (Tamil) Ldg Kuala Ketil,PPD BALING
KBD0055,Sekolah Jenis Kebangsaan (Tamil) Ldg Batu Pekaka,PPD BALING
KBD0056,Sekolah Jenis Kebangsaan (Tamil) Ldg Kim Seng,PPD BALING
KBD0057,Sekolah Jenis Kebangsaan (Tamil) Ladang Malakoff,PPD BALING
KBD0058,Sekolah Jenis Kebangsaan (Tamil) Ldg Kupang,PPD BALING
KBD0059,Sekolah Jenis Kebangsaan (Tamil) Ldg Pelam,PPD BALING
KBD1025,Sekolah Jenis Kebangsaan (Tamil) Ladang Buntar,PPD KULIM/BANDAR BAHARU
KBD1026,Sekolah Jenis Kebangsaan (Tamil) Ganesar,PPD KULIM/BANDAR BAHARU
KBD2137,Sekolah Jenis Kebangsaan (Tamil) Barathy,PPD KOTA SETAR
KBD2138,Sekolah Jenis Kebangsaan (Tamil) Thiruvalluvar,PPD KOTA SETAR
KBD3074,Sekolah Jenis Kebangsaan (Tamil) Bedong,PPD YAN
KBD3075,Sekolah Jenis Kebangsaan (Tamil) Harvard Bhg I,PPD YAN
KBD3076,Sekolah Jenis Kebangsaan (Tamil) Harvard 2,PPD YAN
KBD3077,Sekolah Jenis Kebangsaan (Tamil) Ladang Harvard Bhg 3,PPD YAN
KBD3078,Sekolah Jenis Kebangsaan (Tamil) Ldg Sg Batu,PPD KUALA MUDA
KBD3079,Sekolah Jenis Kebangsaan (Tamil) Ldg Sungai Bongkok,PPD YAN
KBD3080,Sekolah Jenis Kebangsaan (Tamil) Ldg Sungai Puntar,PPD YAN
KBD3081,Sekolah Jenis Kebangsaan (Tamil) Sungai Tok Pawang,PPD YAN
KBD3082,Sekolah Jenis Kebangsaan (Tamil) Ldg Tupah,PPD KUALA MUDA
KBD3083,Sekolah Jenis Kebangsaan (Tamil) Ladang Sungkap Para,PPD KUALA MUDA
KBD3084,Sekolah Jenis Kebangsaan (Tamil) Arumugam Pillai,PPD KUALA MUDA
KBD3085,Sekolah Jenis Kebangsaan (Tamil) Tun Sambanthan,PPD KUALA MUDA
KBD3086,Sekolah Jenis Kebangsaan (Tamil) Kalaimagal,PPD KUALA MUDA
KBD3087,Sekolah Jenis Kebangsaan (Tamil) Mahajothi,PPD KUALA MUDA
KBD3088,Sekolah Jenis Kebangsaan (Tamil) Ldg Kuala Muda Bhg Home,PPD KUALA MUDA
KBD3090,Sekolah Jenis Kebangsaan (Tamil) Ldg Patani Para,PPD KUALA MUDA
KBD3091,Sekolah Jenis Kebangsaan (Tamil) Ldg Scarboro Bhg 2,PPD KUALA MUDA
KBD3093,Sekolah Jenis Kebangsaan (Tamil) Somasundram,PPD KUALA MUDA
KBD3094,Sekolah Jenis Kebangsaan (Tamil) Saraswathy,PPD KUALA MUDA
KBD3095,Sekolah Jenis Kebangsaan (Tamil) Sungai Getah,PPD KUALA MUDA
KBD3096,Sekolah Jenis Kebangsaan (Tamil) Palanisamy Kumaran,PPD KUALA MUDA
KBD3097,Sekolah Jenis Kebangsaan (Tamil) Ldg Lubok Segintah,PPD KUALA MUDA
KBD3106,Sekolah Jenis Kebangsaan (Tamil) Kalaivaani,PPD YAN
KBD3107,Sekolah Jenis Kebangsaan (Tamil) Taman Keladi,PPD KUALA MUDA
KBD4050,Sekolah Jenis Kebangsaan (Tamil) Changlun,PPD KUBANG PASU
KBD4051,Sekolah Jenis Kebangsaan (Tamil) Ldg Paya Kamunting,PPD KUBANG PASU
KBD4052,Sekolah Jenis Kebangsaan (Tamil) Darul Aman,PPD KUBANG PASU
KBD5043,Sekolah Jenis Kebangsaan (Tamil) Ladang Bukit Selarong,PPD KULIM/BANDAR BAHARU
KBD5044,Sekolah Jenis Kebangsaan (Tamil) Ladang Henrietta,PPD KULIM/BANDAR BAHARU
KBD5046,Sekolah Jenis Kebangsaan (Tamil) Ladang Padang Meiha,PPD KULIM/BANDAR BAHARU
KBD5047,Sekolah Jenis Kebangsaan (Tamil) Ladang Victoria,PPD KULIM/BANDAR BAHARU
KBD5048,Sekolah Jenis Kebangsaan (Tamil) Ladang Wellesley,PPD KULIM/BANDAR BAHARU
KBD5049,Sekolah Jenis Kebangsaan (Tamil) Ladang Anak Kulim,PPD KULIM/BANDAR BAHARU
KBD5050,Sekolah Jenis Kebangsaan (Tamil) Ladang Bagan Sena,PPD KULIM/BANDAR BAHARU
KBD5051,Sekolah Jenis Kebangsaan (Tamil) Ladang Bukit Mertajam,PPD KULIM/BANDAR BAHARU
KBD5052,Sekolah Jenis Kebangsaan (Tamil) Ladang Bukit Sidim,PPD KULIM/BANDAR BAHARU
KBD5053,Sekolah Jenis Kebangsaan (Tamil) Kulim,PPD KULIM/BANDAR BAHARU
KBD5054,Sekolah Jenis Kebangsaan (Tamil) Ladang Sungai Ular,PPD KULIM/BANDAR BAHARU
KBD5055,Sekolah Jenis Kebangsaan (Tamil) Ladang Sungai Dingin,PPD KULIM/BANDAR BAHARU
KBD5056,Sekolah Jenis Kebangsaan (Tamil) Ladang Dublin Bhg 5,PPD KULIM/BANDAR BAHARU
KBD5058,Sekolah Jenis Kebangsaan (Tamil) Ladang Dublin Bhg. 7,PPD KULIM/BANDAR BAHARU
KBD5060,Sekolah Jenis Kebangsaan (Tamil) Ladang Somme,PPD KULIM/BANDAR BAHARU
KBD5061,Sekolah Jenis Kebangsaan (Tamil) Ko Sarangapany,PPD KULIM/BANDAR BAHARU
KBD6019,Sekolah Jenis Kebangsaan (Tamil) Ladang Sungai Raya,PPD LANGKAWI
KBDA140,Sekolah Jenis Kebangsaan (Tamil) Ladang Bukit Jenun,PPD PENDANG
KBDB001,Sekolah Jenis Kebangsaan (Tamil) Ladang Jabi,PPD KOTA SETAR
KBE3011,Sekolah Kebangsaan Merbok (Pusat),PPD KUALA MUDA
KBE3043,Sekolah Kebangsaan Tuan Syed Jan Al-Jaffri,PPD KUALA MUDA
KBE4023,Sekolah Kebangsaan Tunku Bendahara,PPD KUBANG PASU
KBE4024,Sekolah Kebangsaan Tunjang,PPD KUBANG PASU
KBE6001,Sekolah Kebangsaan Penghulu Ahmad,PPD LANGKAWI
KBE6005,Sekolah Kebangsaan Kelibang,PPD LANGKAWI
KBE8017,Sekolah Kebangsaan Seri Dusun,PPD SIK
KCA5001,Sekolah Rendah Islam Nurul Hidayah Penghulu Elang,PPD KULIM/BANDAR BAHARU
KCAA001,Sekolah Rendah Islam Tarbiah Al-Awladiah,PPD PENDANG
KCT3001,Sekolah Rendah Akademi Islam Hj. Abdullah Suboh,PPD KUALA MUDA
KCT3002,Sekolah Rendah Islam Al-Ihsaniah,PPD KUALA MUDA
KEA0035,Sekolah Menengah Kebangsaan Baling,PPD BALING
KEA0036,Sekolah Menengah Kebangsaan Siong,PPD BALING
KEA0064,Sekolah Menengah Kebangsaan Teloi Kanan,PPD BALING
KEA0065,Sekolah Menengah Kebangsaan Tanjong Puteri,PPD BALING
KEA0067,Sekolah Menengah Kebangsaan Jerai,PPD BALING
KEA0068,Sekolah Menengah Kebangsaan Parit Panjang,PPD BALING
KEA0069,Sekolah Menengah Kebangsaan Syed Abu Bakar,PPD BALING
KEA0070,Sekolah Model Khas Baling,PPD BALING
KEA0071,Sekolah Menengah Kebangsaan Bakai,PPD BALING
KEA0072,Sekolah Menengah Kebangsaan Bongor,PPD BALING
KEA1001,Sekolah Menengah Kebangsaan Selama,PPD KULIM/BANDAR BAHARU
KEA1002,Sekolah Menengah Kebangsaan Lubuk Buntar,PPD KULIM/BANDAR BAHARU
KEA1003,Sekolah Menengah Kebangsaan Serdang Baru,PPD KULIM/BANDAR BAHARU
KEA2090,Sekolah Menengah Kebangsaan Sultanah Bahiyah,PPD KOTA SETAR
KEA2091,Sekolah Menengah Kebangsaan Dato' Syed Omar,PPD KOTA SETAR
KEA2093,Sekolah Menengah Kebangsaan Kepala Batas,PPD KOTA SETAR
KEA2094,Kolej Tingkatan Enam Alor Setar,PPD KOTA SETAR
KEA2095,Sekolah Menengah Kebangsaan Langgar,PPD KOTA SETAR
KEA2096,Sekolah Menengah Kebangsaan Dato'Wan Mohd Saman,PPD KOTA SETAR
KEA2097,Sekolah Menengah Kebangsaan Keat Hwa 2,PPD KOTA SETAR
KEA2161,Sekolah Menengah Kebangsaan Tajar,PPD KOTA SETAR
KEA2179,Sekolah Menengah Kebangsaan Syed Mohamed Al-Bukhary,PPD KOTA SETAR
KEA2180,Sekolah Menengah Kebangsaan Mergong,PPD KOTA SETAR
KEA2182,Sekolah Menengah Kebangsaan Simpang Kuala,PPD KOTA SETAR
KEA2183,Sekolah Menengah Kebangsaan Kubang Rotan,PPD KOTA SETAR
KEA2185,Sekolah Menengah Kebangsaan Seri Pantai,PPD KOTA SETAR
KEA2186,Kolej Tingkatan Enam Sultan Sallehuddin,PPD KOTA SETAR
KEA2187,Sekolah Menengah Kebangsaan Seri Ampang,PPD KOTA SETAR
KEA2188,Sekolah Menengah Kebangsaan Alor Merah,PPD KOTA SETAR
KEA3046,Sekolah Menengah Kebangsaan Khir Johari,PPD KUALA MUDA
KEA3105,Sekolah Menengah Kebangsaan Tunku Ismail,PPD KUALA MUDA
KEA3106,Sekolah Menengah Kebangsaan Sungai Pasir,PPD KUALA MUDA
KEA3107,Sekolah Menengah Kebangsaan Kota Kuala Muda,PPD KUALA MUDA
KEA3108,Sekolah Menengah Kebangsaan Bukit Selambau,PPD KUALA MUDA
KEA3109,Sekolah Menengah Kebangsaan Bandar Sungai Petani,PPD KUALA MUDA
KEA3111,Sekolah Menengah Kebangsaan Aman Jaya,PPD KUALA MUDA
KEA3112,Sekolah Menengah Kebangsaan Batu 5 Jalan Jeniang,PPD YAN
KEA3113,Sekolah Menengah Kebangsaan Sungai Layar,PPD KUALA MUDA
KEA3114,Sekolah Menengah Kebangsaan Taman Ria Jaya,PPD KUALA MUDA
KEA3115,Sekolah Menengah Kebangsaan Pengkalan Lebai Man,PPD KUALA MUDA
KEA3116,Sekolah Menengah Kebangsaan Pinang Tunggal,PPD KUALA MUDA
KEA3117,Sekolah Menengah Kebangsaan Bakar Arang,PPD KUALA MUDA
KEA3118,Sekolah Menengah Kebangsaan Teluk Bayu,PPD KUALA MUDA
KEA3119,Sekolah Menengah Kebangsaan Sungai Pasir Kecil,PPD KUALA MUDA
KEA3120,Sekolah Menengah Kebangsaan Taman Ria,PPD KUALA MUDA
KEA3121,Sekolah Menengah Kebangsaan Bandar Puteri Jaya,PPD KUALA MUDA
KEA3122,Sekolah Menengah Pendidikan Khas Vokasional Merbok,PPD KUALA MUDA
KEA3123,Sekolah Menengah Kebangsaan Bandar Baru Sungai Lalang,PPD KUALA MUDA
KEA4035,Sekolah Menengah Kebangsaan Bandar Bukit Kayu Hitam,PPD KUBANG PASU
KEA4036,Sekolah Menengah Sultan Abdul Halim,PPD KUBANG PASU
KEA4037,Sekolah Menengah Kebangsaan Sanglang,PPD KUBANG PASU
KEA4038,Sekolah Menengah Kebangsaan Tunku Seri Indera Putera,PPD KUBANG PASU
KEA4058,Sekolah Menengah Kebangsaan Changlun,PPD KUBANG PASU
KEA4059,Sekolah Menengah Kebangsaan Permatang Bonglai,PPD KUBANG PASU
KEA4060,Sekolah Menengah Kebangsaan Megat Dewa,PPD KUBANG PASU
KEA4061,Sekolah Menengah Kebangsaan Tunku Anum Tunku Abdul Rahman,PPD KUBANG PASU
KEA4062,Sekolah Menengah Kebangsaan Hosba,PPD KUBANG PASU
KEA4063,Sekolah Menengah Kebangsaan Tanjung Pauh,PPD KUBANG PASU
KEA4065,Sekolah Menengah Kebangsaan Bandar Baru Sintok,PPD KUBANG PASU
KEA4066,Sekolah Menengah Kebangsaan Bandar Baru Darulaman,PPD KUBANG PASU
KEA4067,Sekolah Menengah Kebangsaan Paya Kemunting,PPD KUBANG PASU
KEA4068,Sekolah Menengah Sains Kubang Pasu,PPD KUBANG PASU
KEA4069,Sekolah Menengah Kebangsaan Darul Aman Height 1,PPD KUBANG PASU
KEA4070,Sekolah Menengah Kebangsaan Jerlun,PPD KUBANG PASU
KEA5023,Sekolah Menengah Kebangsaan Sungai Kob,PPD KULIM/BANDAR BAHARU
KEA5024,Sekolah Menengah Kebangsaan Kulim,PPD KULIM/BANDAR BAHARU
KEA5025,Sekolah Menengah Kebangsaan Dato Lela Pahlawan,PPD KULIM/BANDAR BAHARU
KEA5026,Sekolah Menengah Kebangsaan Keladi,PPD KULIM/BANDAR BAHARU
KEA5067,Sekolah Menengah Kebangsaan Labu Besar,PPD KULIM/BANDAR BAHARU
KEA5068,Sekolah Menengah Kebangsaan Sungai Karangan,PPD KULIM/BANDAR BAHARU
KEA5069,Sekolah Menengah Kebangsaan Lunas,PPD KULIM/BANDAR BAHARU
KEA5070,Sekolah Menengah Kebangsaan Junjung,PPD KULIM/BANDAR BAHARU
KEA5071,Sekolah Menengah Kebangsaan Taman Selasih,PPD KULIM/BANDAR BAHARU
KEA5072,Sekolah Menengah Kebangsaan Taman Kenari,PPD KULIM/BANDAR BAHARU
KEA5073,Sekolah Menengah Kebangsaan Jalan Paya Besar,PPD KULIM/BANDAR BAHARU
KEA5074,Sekolah Menengah Kebangsaan Air Merah,PPD KULIM/BANDAR BAHARU
KEA5075,Sekolah Menengah Kebangsaan Taman Hitech,PPD KULIM/BANDAR BAHARU
KEA5076,Sekolah Menengah Kebangsaan Tengku Sarafudin Badlishah,PPD KULIM/BANDAR BAHARU
KEA5077,Sekolah Menengah Kebangsaan Taman Mutiara,PPD KULIM/BANDAR BAHARU
KEA5078,Kolej Tingkatan Enam Kulim,PPD KULIM/BANDAR BAHARU
KEA6014,Sekolah Menengah Kebangsaan Ayer Hangat,PPD LANGKAWI
KEA6015,Sekolah Menengah Kebangsaan Tunku Putra,PPD LANGKAWI
KEA6016,Sekolah Menengah Kebangsaan Kedawang,PPD LANGKAWI
KEA6017,Sekolah Menengah Kebangsaan Langkawi P.Tuba,PPD LANGKAWI
KEA6018,Sekolah Menengah Kebangsaan Kelibang,PPD LANGKAWI
KEA7017,Sekolah Menengah Kebangsaan Padang Terap,PPD PADANG TERAP
KEA7018,Sekolah Menengah Kebangsaan Lubok Merbau,PPD PADANG TERAP
KEA7019,Sekolah Menengah Kebangsaan Naka,PPD PADANG TERAP
KEA7020,Sekolah Menengah Kebangsaan Pedu,PPD PADANG TERAP
KEA7021,Sekolah Menengah Kebangsaan Kuala Nerang,PPD PADANG TERAP
KEA8019,Sekolah Menengah Kebangsaan Jeneri,PPD SIK
KEA8020,Sekolah Menengah Kebangsaan Seri Enggang,PPD SIK
KEA8021,Sekolah Menengah Kebangsaan Gulau,PPD SIK
KEA8022,Sekolah Menengah Kebangsaan Chepir,PPD SIK
KEA8023,Sekolah Menengah Kebangsaan Batu Lapan,PPD SIK
KEA9001,Sekolah Menengah Kebangsaan Sungai Limau Yan,PPD YAN
KEA9002,Sekolah Menengah Kebangsaan Batu 17,PPD YAN
KEA9003,Sekolah Menengah Kebangsaan Dulang,PPD YAN
KEA9004,Sekolah Menengah Kebangsaan Guar Chempedak 2,PPD YAN
KEA9005,Sekolah Menengah Kebangsaan Seri Badong,PPD YAN
KEAA091,Sekolah Menengah Kebangsaan Tokai,PPD PENDANG
KEAA092,Sekolah Menengah Kebangsaan Kubor Panjang,PPD PENDANG
KEAA164,Sekolah Menengah Kebangsaan Ayer Puteh Dalam,PPD PENDANG
KEAA180,Sekolah Menengah Kebangsaan Tanah Merah,PPD PENDANG
KEAA181,Sekolah Menengah Kebangsaan Syed Ibrahim,PPD PENDANG
KEAA182,Sek Model Khas Bukit Jenun,PPD PENDANG
KEAA183,Sekolah Menengah Kebangsaan Tunku Temenggung,PPD PENDANG
KEAA184,Sekolah Menengah Kebangsaan Tobiar,PPD PENDANG
KEAA185,Sekolah Menengah Sains Pendang,PPD PENDANG
KEAB001,Sekolah Menengah Kebangsaan Jabi,PPD KOTA SETAR
KEAB002,Sekolah Menengah Sains Pokok Sena,PPD KOTA SETAR
KEAB003,Sekolah Menengah Kebangsaan Bukit Payong,PPD KOTA SETAR
KEAB004,Sekolah Menengah Kebangsaan Pokok Sena 2,PPD KOTA SETAR
KEB0037,Sekolah Menengah Kebangsaan Tunku Putera,PPD BALING
KEB2093,Sekolah Menengah Kebangsaan Darulaman,PPD KOTA SETAR
KEB2094,Sekolah Menengah Kebangsaan Keat Hwa 1,PPD KOTA SETAR
KEB2095,Sekolah Menengah Kebangsaan Sultanah Asma,PPD KOTA SETAR
KEB2096,Kolej Sultan Abdul Hamid,PPD KOTA SETAR
KEB2097,Sekolah Menengah Kebangsaan St Michael,PPD KOTA SETAR
KEB2098,Sekolah Menengah Kebangsaan Convent,PPD KOTA SETAR
KEB2099,Sekolah Menengah Kebangsaan Tunku Abdul Rahman,PPD KOTA SETAR
KEB2162,Sekolah Menengah Kebangsaan Tunku Sofiah,PPD KOTA SETAR
KEB3047,Sekolah Menengah Kebangsaan Dato Bijaya Setia,PPD KUALA MUDA
KEB3048,Sekolah Menengah Kebangsaan Convent Father Barre,PPD KUALA MUDA
KEB3049,Sekolah Menengah Kebangsaan Ibrahim,PPD KUALA MUDA
KEB3050,Sekolah Menengah Kebangsaan St Theresa,PPD KUALA MUDA
KEB3051,Sekolah Menengah Kebangsaan Sin Min,PPD KUALA MUDA
KEB5025,Sekolah Menengah Kebangsaan Chio Min,PPD KULIM/BANDAR BAHARU
KEB5026,Sekolah Menengah Kebangsaan Tunku Panglima Besar,PPD KULIM/BANDAR BAHARU
