Kod,Nama,PPD
KBA2023,Sekolah Kebangsaan Alor Melintang,PPD KOTA SETAR
KBA2024,Sekolah Kebangsaan Alor Mengkudu,PPD KOTA SETAR
KBA2025,Sekolah Kebangsaan Tunku Raudzah,PPD KOTA SETAR
KBA2026,Sekolah Kebangsaan Hutan Kampong,PPD KOTA SETAR
KBA2028,Sekolah Kebangsaan Kampong Gelam,PPD KOTA SETAR
KBA2029,Sekolah Kebangsaan Gerigis,PPD KOTA SETAR
KBA2030,Sekolah Kebangsaan Sri Taman,PPD KOTA SETAR
KBA2031,Sekolah Kebangsaan Kuala Kedah,PPD KOTA SETAR
KBA2032,Sekolah Kebangsaan Langgar,PPD KOTA SETAR
KBA2033,Sekolah Kebangsaan Haji Abu Bakar,PPD KOTA SETAR
KBA2036,Sekolah Kebangsaan Seberang Perak Baru,PPD KOTA SETAR
KBA2037,Sekolah Kebangsaan Seberang Perak,PPD KOTA SETAR
KBA2038,Sekolah Kebangsaan Haji Ismail,PPD KOTA SETAR
KBA2039,Sekolah Kebangsaan Jalan Pegawai,PPD KOTA SETAR
KBA2040,Sekolah Kebangsaan Sg Korok Lama,PPD KOTA SETAR
KBA2041,Sekolah Kebangsaan Hj Idris Tajar,PPD KOTA SETAR
KBA2042,Sekolah Kebangsaan Dato' Wan Mohd Saman,PPD KOTA SETAR
KBA2045,Sekolah Kebangsaan Telok Kechai,PPD KOTA SETAR
KBA2049,Sekolah Kebangsaan Buluh Lima,PPD KOTA SETAR
KBA2055,Sekolah Kebangsaan Kangkong,PPD KOTA SETAR
KBA2058,Sekolah Kebangsaan Lahar Budi,PPD KOTA SETAR
KBA2061,Sekolah Kebangsaan Hj Hassan Itam,PPD KOTA SETAR
KBA2064,Sekolah Kebangsaan Tebengau,PPD KOTA SETAR
KBA2065,Sekolah Kebangsaan Haji Wahab,PPD KOTA SETAR
KBA2066,Sekolah Kebangsaan Darul Hikmah,PPD KOTA SETAR
KBA2073,Sekolah Kebangsaan Kampong Jawa,PPD KOTA SETAR
KBA2074,Sekolah Kebangsaan Sri Mahawangsa,PPD KOTA SETAR
KBA2084,Sekolah Kebangsaan Bukit Pinang,PPD KOTA SETAR
KBA2085,Sekolah Kebangsaan Taman Uda,PPD KOTA SETAR
KBA2087,Sekolah Kebangsaan Pendidikan Khas Alor Setar,PPD KOTA SETAR
KBA2088,Sekolah Kebangsaan Taman Rakyat,PPD KOTA SETAR
KBA2089,Sekolah Kebangsaan Seri Pantai,PPD KOTA SETAR
KBA2090,Sekolah Kebangsaan Seri Perdana,PPD KOTA SETAR
KBA2091,Sekolah Kebangsaan Peremba,PPD KOTA SETAR
KBA2092,Sekolah Kebangsaan Jalan Datuk Kumbar,PPD KOTA SETAR
KBA2093,Sekolah Kebangsaan Kebun Pinang,PPD KOTA SETAR
KBA2094,Sekolah Kebangsaan Taman Aman,PPD KOTA SETAR
KBA2095,Sekolah Kebangsaan Taman Bersatu,PPD KOTA SETAR
KBA2096,Sekolah Kebangsaan Haji Salleh Masri,PPD KOTA SETAR
KBA2098,Sekolah Kebangsaan Taman Awana,PPD KOTA SETAR
KBA3001,Sekolah Kebangsaan Gurun (Pusat),PPD YAN
KBA3002,Sekolah Kebangsaan Jeniang (Pusat),PPD YAN
KBA3003,Sekolah Kebangsaan Batu Hampar,PPD KUALA MUDA
KBA3004,Sekolah Kebangsaan Seri Wangsa,PPD KUALA MUDA
KBA3005,Sekolah Kebangsaan Sultan Mudzaffar Shah,PPD KUALA MUDA
KBA3006,Sekolah Kebangsaan Aman Jaya,PPD KUALA MUDA
KBA3007,Sekolah Kebangsaan Bkt Selambau,PPD KUALA MUDA
KBA3008,Sekolah Kebangsaan Bedong,PPD YAN
KBA3009,Sekolah Kebangsaan Ladang Harvard,PPD YAN
KBA3010,Sekolah Kebangsaan Dataran Muda,PPD KUALA MUDA
KBA3011,Sekolah Kebangsaan Sri Jerai,PPD YAN
KBA3012,Sekolah Kebangsaan Pantai Prai,PPD KUALA MUDA
KBA3013,Sekolah Kebangsaan Hj. Omar Tahir,PPD KUALA MUDA
KBA3014,Sekolah Kebangsaan Patani Para,PPD KUALA MUDA
KBA3015,Sekolah Kebangsaan Semeling,PPD KUALA MUDA
KBA3016,Sekolah Kebangsaan Sungai Lalang,PPD KUALA MUDA
KBA3017,Sekolah Kebangsaan Sungkap Para,PPD KUALA MUDA
KBA3018,Sekolah Kebangsaan Sungai Tok Pawang,PPD YAN
KBA3019,Sekolah Kebangsaan Tanjong Dawai,PPD KUALA MUDA
KBA3020,Sekolah Kebangsaan Bukit Kechil,PPD KUALA MUDA
KBA3021,Sekolah Kebangsaan Darul Aman,PPD KUALA MUDA
KBA3022,Sekolah Kebangsaan Bukit Meriam,PPD KUALA MUDA
KBA3023,Sekolah Kebangsaan Haji Sulaiman,PPD KUALA MUDA
KBA3024,Sekolah Kebangsaan Sri Gedong,PPD KUALA MUDA
KBA3025,Sekolah Kebangsaan Kota Kuala Muda,PPD KUALA MUDA
KBA3027,Sekolah Kebangsaan Seri Kuala,PPD KUALA MUDA
KBA3028,Sekolah Kebangsaan Kampung Kuala Sin,PPD KUALA MUDA
KBA3029,Sekolah Kebangsaan Seri Pinang,PPD KUALA MUDA
KBA3030,Sekolah Kebangsaan Pinang Tunggal,PPD KUALA MUDA
KBA3031,Sekolah Kebangsaan Rantau Panjang,PPD KUALA MUDA
KBA3032,Sekolah Kebangsaan Sidam Kiri,PPD KUALA MUDA
KBA3033,Sekolah Kebangsaan Simpor,PPD KUALA MUDA
KBA3034,Sekolah Kebangsaan Sungai Pasir,PPD KUALA MUDA
KBA3035,Sekolah Kebangsaan Khir Johari,PPD KUALA MUDA
KBA3036,Sekolah Kebangsaan Sungai Petani,PPD KUALA MUDA
KBA3037,Sekolah Kebangsaan Tikam Batu,PPD KUALA MUDA
KBA3038,Sekolah Kebangsaan Batu Empat,PPD YAN
KBA3039,Sekolah Kebangsaan Berapit,PPD KUALA MUDA
KBA3040,Sekolah Kebangsaan Kem Lapangan Terbang,PPD KUALA MUDA
KBA3041,Sekolah Kebangsaan Petani Jaya,PPD KUALA MUDA
KBA3042,Sekolah Kebangsaan Pendidikan Khas Sungai Petani,PPD KUALA MUDA
KBA3043,Sekolah Kebangsaan Tunku Ismail,PPD KUALA MUDA
